UID,Title_Director_Actors,Title,Series_or_Movie,Genres_all,Primary G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Genre count,Country_Availability,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,Country count,Languages,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,Language count,Director,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,Director count,Actors,A2,A3,A4,Actor count,Biography,Crime,Action,Comedy,Documentary,Drama,Adventure,Animation,Horror,Mystery,Sci-Fi,Thriller,Family,Fantasy,Adult,Talk-Show,Romance,Music,Musical,Western,Sport,War,History,News,Germany,Singapore,Thailand,Lithuania,Argentina,France,Hong Kong,Australia,Poland,Slovakia,Israel,South Africa,Japan,Sweden,Canada,Greece,Italy,Belgium,Brazil,United States,Russia,United Kingdom,Portugal,South Korea,Hungary,Romania,Switzerland,India,Czech Republic,Mexico,Spain,Turkey,Iceland,Netherlands,Malaysia,Colombia,Runtime,Under 30 mins,30-60 mins,1-2 hours,Over 2 hours,View_Rating,IMDb_Score,Rotten_Tomatoes_Score,Metacritic_Score,Awards_Received,Awards_Nominated_For,Boxoffice,Release_Date,Netflix_Release_Date,Production
12302,"The Goonies_Richard Donner_Sean Astin, Josh Brolin, Corey Feldman, Jeff Cohen",The Goonies,Movie,"Adventure,Comedy,Family",Adventure,Comedy,Family,,,,,,,,,,3,France,Belgium,Switzerland,Japan,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,English,Spanish,Cantonese,Italian,,,,,,,,,,,4,Richard Donner,,,,,,,,,,,,,1,Sean Astin,Josh Brolin,Corey Feldman,Jeff Cohen,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,PG,7.8,76,62,3,6,63192596,7-Jun-85,14/4/2015,"Warner Brothers, Amblin Entertainment"
12310,"The Grand Budapest Hotel_Wes Anderson_Ralph Fiennes, Mathieu Amalric, F. Murray Abraham, Adrien Brody",The Grand Budapest Hotel,Movie,"Adventure,Comedy,Crime",Adventure,Comedy,Crime,,,,,,,,,,3,South Korea,Germany,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,English,French,German,,,,,,,,,,,,3,Wes Anderson,,,,,,,,,,,,,1,Ralph Fiennes,Mathieu Amalric,F. Murray Abraham,Adrien Brody,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,R,8.1,92,88,134,226,59301324,28-Mar-14,14/4/2015,American Empirical Pictures
12311,"The Grandmaster_Kar-Wai Wong_Tony Chiu-Wai Leung, Elvis Tsui, Cung Le, Qingxiang Wang",The Grandmaster,Movie,"Action,Biography,Drama,Romance,War",Action,Biography,Drama,Romance,War,,,,,,,,5,United Kingdom,Japan,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Mandarin,Cantonese,Japanese,,,,,,,,,,,,3,Kar-Wai Wong,,,,,,,,,,,,,1,Tony Chiu-Wai Leung,Elvis Tsui,Cung Le,Qingxiang Wang,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,PG-13,6.6,78,73,68,72,6594959,30-Aug-13,14/4/2015,
12314,"The Great Battle_Kwang-shik Kim_Park Sung-Woong, Nam Joo-Hyuk, Dong-il Sung, In-Sung Jo",The Great Battle,Movie,"Action,Drama,History,War",Action,Drama,History,War,,,,,,,,,4,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Korean,Mandarin,,,,,,,,,,,,,2,Kwang-shik Kim,,,,,,,,,,,,,1,Park Sung-Woong,Nam Joo-Hyuk,Dong-il Sung,In-Sung Jo,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,Not Rated,7,86,,6,5,472166,21-Sep-18,8/4/2019,
12315,"The Great Beauty_Paolo Sorrentino_Toni Servillo, Carlo Buccirosso, Carlo Verdone, Sabrina Ferilli",The Great Beauty,Movie,Drama,Drama,,,,,,,,,,,,1,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Italian,Japanese,Spanish,Chinese,,,,,,,,,,,4,Paolo Sorrentino,,,,,,,,,,,,,1,Toni Servillo,Carlo Buccirosso,Carlo Verdone,Sabrina Ferilli,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,Not Rated,7.8,91,86,60,77,2852400,14-Mar-14,14/4/2015,"Indigo Films, Medusa Film"
12324,"The Great Gatsby_Baz Luhrmann_Frank Aldridge, Lisa Adam, Amitabh Bachchan, Steve Bisley",The Great Gatsby,Movie,"Drama,Romance",Drama,Romance,,,,,,,,,,,2,Romania,Belgium,Hungary,France,Lithuania,Switzerland,Canada,Czech Republic,Australia,Poland,Slovakia,Turkey,Japan,South Korea,,,,,,,,,,,,,,,,,,,,,,,14,English,,,,,,,,,,,,,,1,Baz Luhrmann,,,,,,,,,,,,,1,Frank Aldridge,Lisa Adam,Amitabh Bachchan,Steve Bisley,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,4,0,0,0,1,PG-13,7.2,48,55,50,86,144840419,10-May-13,19/4/2015,"Bazmark Films, Red Wagon Entertainment"
12332,"The Greatest Miracle_Bruce Morris_Alan García, Christopher Corey Smith, Chris Marlowe, Raúl Solo",The Greatest Miracle,Movie,"Animation,Drama",Animation,Drama,,,,,,,,,,,2,Brazil,Argentina,Mexico,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,English,,,,,,,,,,,,,,1,Bruce Morris,,,,,,,,,,,,,1,Alan García,Christopher Corey Smith,Chris Marlowe,Raúl Solo,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,PG,4.4,70,,1,3,555166,14-Oct-11,14/4/2015,Dos Corazones Films
12333,"The Greatest Showman_Michael Gracey_Zac Efron, Michelle Williams, Hugh Jackman, Zendaya",The Greatest Showman,Movie,"Biography,Drama,Musical",Biography,Drama,Musical,,,,,,,,,,3,Switzerland,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,English,,,,,,,,,,,,,,1,Michael Gracey,,,,,,,,,,,,,1,Zac Efron,Michelle Williams,Hugh Jackman,Zendaya,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,PG,7.6,57,48,18,35,174340174,20-Dec-17,1/12/2019,"Chernin Entertainment, Twentieth Century Fox, TSG Entertainment"
12334,"The Green Hornet_Michel Gondry_Tom Wilkinson, Cameron Diaz, Seth Rogen, Jay Chou",The Green Hornet,Movie,"Action,Comedy,Crime",Action,Comedy,Crime,,,,,,,,,,3,Turkey,Hong Kong,Japan,Canada,Singapore,Switzerland,United States,Greece,Sweden,Thailand,Malaysia,Netherlands,Italy,Israel,India,Germany,,,,,,,,,,,,,,,,,,,,,16,English,Mandarin,,,,,,,,,,,,,2,Michel Gondry,,,,,,,,,,,,,1,Tom Wilkinson,Cameron Diaz,Seth Rogen,Jay Chou,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,3,0,0,1,0,PG-13,5.8,44,39,4,7,98780042,14-Jan-11,14/4/2015,Original Film
12335,"The Green Inferno_Eli Roth_Daryl Sabara, Lorenza Izzo, Ariel Levy, Kirby Bliss Blanton",The Green Inferno,Movie,"Adventure,Horror",Adventure,Horror,,,,,,,,,,,2,South Korea,Japan,South Africa,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,English,Spanish,,,,,,,,,,,,,2,Eli Roth,,,,,,,,,,,,,1,Daryl Sabara,Lorenza Izzo,Ariel Levy,Kirby Bliss Blanton,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,R,5.3,38,38,1,6,7192291,25-Sep-15,1/8/2016,"Worldview Entertainment, Sobras International Pictures, Dragonfly Entertainment"
12336,"The Green Mile_Frank Darabont_Michael Clarke Duncan, Bonnie Hunt, David Morse, Tom Hanks",The Green Mile,Movie,"Crime,Drama,Fantasy,Mystery",Crime,Drama,Fantasy,Mystery,,,,,,,,,4,United Kingdom,South Africa,Russia,Greece,Sweden,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,English,French,,,,,,,,,,,,,2,Frank Darabont,,,,,,,,,,,,,1,Michael Clarke Duncan,Bonnie Hunt,David Morse,Tom Hanks,4,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,R,8.6,78,61,15,37,136801374,10-Dec-99,7/10/2016,"Castle Rock Entertainment, Darkwoods Productions, Warner Brothers"
12341,"The Grudge_Takashi Shimizu_William Mapother, Clea DuVall, Sarah Michelle Gellar, Jason Behr",The Grudge,Movie,"Horror,Mystery,Thriller",Horror,Mystery,Thriller,,,,,,,,,,3,Hong Kong,South Korea,Thailand,Netherlands,Israel,Singapore,Malaysia,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,English,Japanese,,,,,,,,,,,,,2,Takashi Shimizu,,,,,,,,,,,,,1,William Mapother,Clea DuVall,Sarah Michelle Gellar,Jason Behr,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,PG-13,5.9,40,49,2,10,110359362,22-Oct-04,1/8/2020,"Senator International, Ghost House Pictures"
12352,"The Guys_Jim Simpson_Sigourney Weaver, Irene Walsh, Anthony LaPaglia, Jim Simpson",The Guys,Movie,Drama,Drama,,,,,,,,,,,,1,Thailand,Singapore,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,English,,,,,,,,,,,,,,1,Jim Simpson,,,,,,,,,,,,,1,Sigourney Weaver,Irene Walsh,Anthony LaPaglia,Jim Simpson,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,PG,6.3,73,60,1,2,21366,20-Nov-03,17/12/2020,
12356,"The Handmaiden_Chan-wook Park_Min-chae Yoo, Kim Tae-ri, Yong-nyeo Lee, Dong-hwi Lee",The Handmaiden,Movie,"Drama,Romance,Thriller",Drama,Romance,Thriller,,,,,,,,,,3,United Kingdom,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Korean,Japanese,,,,,,,,,,,,,2,Chan-wook Park,,,,,,,,,,,,,1,Min-chae Yoo,Kim Tae-ri,Yong-nyeo Lee,Dong-hwi Lee,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,Not Rated,8.1,95,84,68,104,2006788,1-Jun-16,30/9/2017,"Moho Film, Yong Film"
12357,"The Hangover: Part III_Todd Phillips_Justin Bartha, Bradley Cooper, Zach Galifianakis, Ed Helms",The Hangover: Part III,Movie,"Comedy,Crime",Comedy,Crime,,,,,,,,,,,2,France,Switzerland,Belgium,Portugal,United Kingdom,Japan,Canada,Netherlands,Spain,Germany,Sweden,Turkey,Russia,,,,,,,,,,,,,,,,,,,,,,,,13,English,Spanish,,,,,,,,,,,,,2,Todd Phillips,,,,,,,,,,,,,1,Justin Bartha,Bradley Cooper,Zach Galifianakis,Ed Helms,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,3,0,0,1,0,R,5.8,20,30,2,7,112200072,23-May-13,14/4/2015,Green Hat Films
12358,"The Hangover: Part II_Todd Phillips_Justin Bartha, Bradley Cooper, Zach Galifianakis, Ed Helms",The Hangover: Part II,Movie,Comedy,Comedy,,,,,,,,,,,,1,Canada,Switzerland,Japan,Portugal,Belgium,United Kingdom,France,Netherlands,Spain,Germany,Italy,Sweden,Turkey,Russia,,,,,,,,,,,,,,,,,,,,,,,14,English,Thai,,,,,,,,,,,,,2,Todd Phillips,,,,,,,,,,,,,1,Justin Bartha,Bradley Cooper,Zach Galifianakis,Ed Helms,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,3,0,0,1,0,R,6.5,33,44,5,18,254464305,26-May-11,14/4/2015,Green Hat Films
12359,"The Hangover_Todd Phillips_Justin Bartha, Bradley Cooper, Zach Galifianakis, Ed Helms",The Hangover,Movie,Comedy,Comedy,,,,,,,,,,,,1,Canada,Switzerland,Japan,Portugal,Belgium,United Kingdom,France,India,Netherlands,Spain,Germany,Sweden,Turkey,Russia,,,,,,,,,,,,,,,,,,,,,,,14,English,,,,,,,,,,,,,,1,Todd Phillips,,,,,,,,,,,,,1,Justin Bartha,Bradley Cooper,Zach Galifianakis,Ed Helms,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,3,0,0,1,0,R,7.7,78,73,13,25,277322503,5-Jun-09,14/4/2015,Green Hat Films
12360,"The Happening_M. Night Shyamalan_John Leguizamo, Zooey Deschanel, Ashlyn Sanchez, Mark Wahlberg",The Happening,Movie,"Drama,Mystery,Sci-Fi,Thriller",Drama,Mystery,Sci-Fi,Thriller,,,,,,,,,4,Hong Kong,Thailand,Singapore,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,English,French,,,,,,,,,,,,,2,M. Night Shyamalan,,,,,,,,,,,,,1,John Leguizamo,Zooey Deschanel,Ashlyn Sanchez,Mark Wahlberg,4,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,R,5,17,34,3,10,64506874,13-Jun-08,15/4/2015,Blinding Edge Pictures
